1,Назарово,Красноярский край,49 748,49 825,49 991,50 397,50 652,51 069,51 437,51 759,52 154,52 800,52 817
2,Узловая,Тульская область,49 655,50 508,51 358,51 922,52 377,52 825,53 316,53 949,54 511,55 300,55 282
3,Кизляр,Дагестан,49 412,49 247,48 907,48 396,48 237,48 102,48 078,48 037,48 579,49 000,48 984
4,Лесной,Свердловская область,49 256,49 054,49 056,49 149,49 111,49 338,49 408,49 684,50 136,50 400,50 363
5,Котельники,Московская область,49 023,46 763,44 869,44 353,43 128,41 308,39 443,37 105,35 081,32 300,32 338
6,Боровичи,Новгородская область,49 012,49 071,50 144,50 896,51 555,52 212,52 687,53 141,53 383,53 700,53 690
7,Можга,Удмуртия,48 986,49 093,49 328,49 617,49 733,49 777,49 841,49 284,48 764,48 000,47 961
8,Рославль,Смоленская область,48 909,49 405,50 112,50 870,51 466,51 775,52 070,53 025,53 909,54 900,53 700
9,Бугуруслан,Оренбургская область,48 546,48 669,49 245,49 585,49 845,49 870,49 971,49 942,49 630,49 700,49 741
10,Балахна,Нижегородская область,48 520,48 710,49 126,49 364,49 626,49 867,50 107,50 422,50 771,51 376,51 519
11,Шелехов,Иркутская область,48 423,48 460,48 098,47 608,47 378,47 120,46 775,47 974,47 911,47 961,47 943
12,Курганинск,Краснодарский край,48 194,48 439,48 689,48 964,49 006,49 037,48 534,48 359,48 189,48 000,47 970
13,Кашира,Московская область,47 392,48 016,48 656,49 247,49 638,39 929,40 213,40 824,41 451,41 900,41 870
14,Ливны,Орловская область,47 165,47 179,47 221,47 489,47 924,48 327,48 996,49 342,49 873,50 300,50 343
15,Отрадный,Самарская область,47 067,47 083,47 180,47 542,47 470,47 593,47 569,47 603,47 769,48 289,48 356
16,Донецк,Ростовская область,46 732,46 899,47 770,48 428,48 699,48 979,49 170,49 504,49 772,49 996,50 098
17,Грязи,Липецкая область,46 683,46 608,46 492,46 586,46 503,46 289,46 166,46 441,46 671,46 817,46 807
18,Мегион,Ханты-Мансийский АО,46 643,47 332,47 720,48 283,48 818,49 063,48 949,48 539,48 763,49 400,49 449
19,Бирск,Башкортостан,46 512,46 362,46 379,46 330,46 132,45 553,44 679,43 765,42 928,41 600,41 635
20,Аксай,Ростовская область,46 018,45 158,45 078,44 828,44 279,43 558,43 166,42 747,42 481,42 000,41 969
21,Саяногорск,Хакасия,45 951,46 709,47 358,47 983,48 299,48 740,48 851,48 942,49 145,49 900,49 887
22,Заринск,Алтайский край,45 886,46 254,46 597,46 830,47 035,47 274,47 586,47 771,48 049,48 461,48 461
23,Берёзовский,Кемеровская область,45 598,45 801,46 215,46 859,47 140,47 352,47 250,47 233,47 330,47 367,47 279
24,Вышний Волочёк,Тверская область,45 481,46 211,46 908,47 732,48 177,48 844,49 391,50 341,51 259,52 226,52 370
25,Кингисепп,Ленинградская область,45 216,45 858,46 747,47 312,47 705,47 969,48 128,48 260,48 640,48 500,48 488
26,Надым,Ямало-Ненецкий АО,44 830,44 705,44 594,44 660,44 940,45 766,45 792,46 765,47 360,46 696,46 611
27,Канаш,Чувашия,44 795,45 222,45 482,45 501,45 716,45 734,45 819,45 759,45 655,45 600,45 607
28,Лангепас,Ханты-Мансийский АО,44 646,44 582,44 108,43 534,43 377,42 956,42 801,42 683,42 447,41 772,41 670
29,Торжок,Тверская область,44 439,45 371,45 641,46 031,46 312,46 690,46 950,47 260,47 326,47 739,47 644
30,Рузаевка,Мордовия,44 291,44 504,45 248,45 988,46 064,46 213,46 437,46 787,47 060,47 500,47 523
31,Волхов,Ленинградская область,44 256,44 487,44 868,45 195,45 585,46 076,46 589,46 827,46 891,47 064,47 182
32,Чусовой,Пермский край,43 737,44 185,44 779,45 291,45 546,45 719,45 878,46 037,46 341,46 700,46 735
33,Радужный,Ханты-Мансийский АО,43 666,43 726,43 485,43 157,42 963,42 911,43 177,43 580,43 565,43 680,43 399
34,Куйбышев,Новосибирская область,43 536,43 796,44 170,44 246,44 616,44 627,44 511,44 606,44 843,45 300,45 299
35,Кимры,Тверская область,43 216,44 125,44 743,45 504,46 101,46 771,47 235,47 625,48 562,49 388,49 628
36,Краснознаменск,Московская область,43 191,42 472,41 769,41 287,40 433,39 273,38 445,38 262,37 186,36 300,36 103
37,Карабулак,Ингушетия,42 724,41 469,40 308,39 614,38 973,38 422,37 883,36 494,34 222,31 219,30 961
38,Рассказово,Тамбовская область,42 679,42 767,43 330,43 758,44 180,44 760,44 928,44 996,45 138,45 500,45 484
39,Ярцево,Смоленская область,42 677,43 280,44 097,44 740,45 559,46 219,46 266,46 970,47 518,47 800,48 800
40,Кореновск,Краснодарский край,42 418,42 174,42 019,41 823,41 876,41 828,41 330,41 043,41 004,41 200,41 166
41,Моздок,Северная Осетия,42 039,42 155,41 728,41 409,40 564,40 042,39 432,39 232,39 089,38 698,38 768
42,Кольчугино,Владимирская область,41 953,42 708,43 089,43 543,43 784,44 125,44 405,44 786,45 225,45 653,45 776
43,Осинники,Кемеровская область,41 673,41 887,42 454,43 008,43 445,43 901,44 229,44 771,44 983,45 799,46 001
44,Темрюк,Краснодарский край,41 413,41 133,40 755,40 108,39 646,39 164,38 780,38 386,38 284,38 000,38 046
45,Чебаркуль,Челябинская область,41 310,40 932,40 378,39 914,40 612,40 739,40 892,41 539,42 114,42 764,42 844
46,Сатка,Челябинская область,41 309,41 339,41 798,42 214,42 437,42 688,43 229,43 934,44 443,45 043,45 178
